TimeStamp,CpuUsage,CpuTemp,IrTemp,CpuPkgPower,CpuPL1,ThermalThrottling
2023-08-24_15-57-35-176,100,98,37,97.91128482,55,1
2023-08-24_15-57-36-213,100,98,37,81.06489708,55,1
2023-08-24_15-57-37-245,100,96,37,90.91381489,55,1
2023-08-24_15-57-38-281,100,96,37,87.43883491,55,1
2023-08-24_15-57-39-315,100,98,37,93.49710583,55,1
2023-08-24_15-57-40-351,100,98,37,88.89498645,55,1
2023-08-24_15-57-41-388,100,95,37,89.82130693,55,1
2023-08-24_15-57-42-422,100,98,37,85.42468957,55,1
2023-08-24_15-57-43-456,100,96,37,78.85560916,55,1
2023-08-24_15-57-44-488,100,96,37,79.68026625,55,1
2023-08-24_15-57-45-521,100,96,37,92.67873454,55,1
2023-08-24_15-57-46-551,100,96,37,92.11210293,55,1
2023-08-24_15-57-47-583,100,98,37,89.44379727,55,1
2023-08-24_15-57-48-616,100,96,37,93.25878202,55,1
2023-08-24_15-57-49-647,100,96,37,87.54268484,55,1
2023-08-24_15-57-50-680,100,98,37,76.70230497,55,1
2023-08-24_15-57-51-713,100,96,37,83.78828499,55,1
2023-08-24_15-57-52-742,100,96,37,83.78828499,55,1
2023-08-24_15-57-53-774,100,96,37,92.63885913,55,1
2023-08-24_15-57-54-807,100,96,37,82.5868168,55,1
2023-08-24_15-57-55-841,100,96,37,84.37636907,55,1
2023-08-24_15-57-56-870,100,98,37,87.91451344,55,1
2023-08-24_15-57-57-904,100,98,37,84.76906309,55,1
2023-08-24_15-57-58-935,100,98,37,95.03881333,55,1
2023-08-24_15-57-59-968,100,98,37,87.19583513,55,1
2023-08-24_15-58-01-002,100,98,37,89.23404978,55,1
2023-08-24_15-58-02-033,100,96,37,81.84955715,55,1
2023-08-24_15-58-03-065,100,96,37,89.35500808,55,1
2023-08-24_15-58-04-094,100,98,37,89.87720179,55,1
2023-08-24_15-58-05-126,100,98,37,97.17426106,55,1
2023-08-24_15-58-06-158,100,96,37,84.42035746,55,1
2023-08-24_15-58-07-188,100,95,37,89.97916011,55,1
2023-08-24_15-58-08-220,100,96,37,81.5515524,55,1
2023-08-24_15-58-09-253,100,96,37,87.11900136,55,1
2023-08-24_15-58-10-285,100,96,37,87.11900136,55,1
2023-08-24_15-58-11-316,100,98,37,89.56759558,55,1
2023-08-24_15-58-12-347,100,98,37,87.07536538,55,1
2023-08-24_15-58-13-379,100,96,37,86.17688988,55,1
2023-08-24_15-58-14-412,100,96,37,90.69051451,55,1
2023-08-24_15-58-15-444,100,98,37,87.63497678,55,1
2023-08-24_15-58-16-476,100,96,37,85.98479985,55,1
2023-08-24_15-58-17-507,100,98,37,85.57960231,55,1
2023-08-24_15-58-18-538,100,96,37,91.4444213,55,1
2023-08-24_15-58-19-570,100,96,37,89.07112871,55,1
2023-08-24_15-58-20-601,100,96,37,82.09714001,55,1
2023-08-24_15-58-21-631,100,96,37,87.17203014,55,1
2023-08-24_15-58-22-660,100,98,37,92.36024774,55,1
2023-08-24_15-58-23-693,100,96,37,85.86961342,55,1
